Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Saint-Maximin;Allan;NIC;ETI;H;433;FWL;1;32;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;12;0;0;0;2;2;2;19;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dossevi;Matthieu;MET;MON;A;541;MR;1;12;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;1;2;0;0;0;1;1;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niane;Ibrahima;MET;MON;A;541;SUB;1;78;0;1;0;0;0;0;1;0;0;1;1;1;4;0;0;0;0;0;2;5;24;30;0;5;0;5;3;12;55;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Makengo;Jean-Victor;NIC;ETI;H;433;SUB;1;58;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;17;19;0;0;0;2;3;4;37;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Michel;Mathieu;ANG;REN;A;4141;SUB;1;57;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;19;0;0;0;7;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0
Draxler;Julian;PSG;LYO;A;433;SUB;1;54;0;1;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;1;0;48;49;1;0;0;4;1;2;61;0;0;0;0;0;0;0;2;0;0;0;0;0;3;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Lima;Lucas;NTE;BDX;H;4231;SUB;1;45;0;1;0;0;0;0;0;0;0;2;0;1;4;0;0;0;1;1;3;0;16;19;0;1;0;5;1;3;41;0;0;2;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
N'Gom;Santy;NTE;BDX;H;4231;SUB;1;45;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;2;3;7;10;0;1;0;2;1;6;20;3;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ndoram;Kevin;MON;MET;H;433;SUB;1;42;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;24;25;0;1;0;3;0;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Araujo;Luiz;LIL;TRO;A;4141;SUB;1;40;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;16;0;0;0;1;0;0;23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
