PRENOM_NOM;PRENOM;NOM;TEAM;POS;IDRECHERCHE1;IDRECHERCHE2
Fode Toure Ballo  ;Fode;Toure Ballo;LIL;Midfielder;Toure_BalloFodeLIL;
Fouad Chafik;Fouad;Chafik;DIJ;Defender;ChafikFouadDIJ;
Franck Hery;Franck;Hery;GUI;Defender;HeryFranckGUI;
Franck Tabanou;Franck;Tabanou;GUI;Defender;TabanouFranckGUI;
Tristan Dingome;Tristan;Dingome;TRO;Midfielder;DingomeTristanTRO;
Francois Kamano;Francois;Kamano;BDX;Forward;KamanoFrancoisBDX;
Frederic Guilbert;Frederic;Guilbert;CAE;Defender;GuilbertFredericCAE;
Frederic Sammaritano;Frederic;Sammaritano;DIJ;Midfielder;SammaritanoFredericDIJ;
Yehvann Diouf  ;Yehvann;Diouf;TRO;Goalkeeper;DioufYehvannTRO;
Fabinho;;Fabinho;MON;Midfielder;FabinhoMON;
Gabriel Silva  ;Gabriel;Silva;ETI;Defender;SilvaGabrielETI;
Gael Kakuta;Gael;Kakuta;AMN;Midfielder;KakutaGaelAMN;
Gaetan Laborde;Gaetan;Laborde;BDX;Forward;LabordeGaetanBDX;
Gaetan Poussin  ;Gaetan;Poussin;BDX;Goalkeeper;PoussinGaetanBDX;
Kpene Ignatius Ganago;Kpene;Ignatius Ganago;NIC;Forward;Ignatius_GanagoKpeneNIC;
Georges Gope-Fenepej;Georges;Gope-Fenepej;AMN;Forward;Gope-FenepejGeorgesAMN;
Lemouya Goudiaby;Lemouya;Goudiaby;MET;Midfielder;GoudiabyLemouyaMET;
Geronimo Poblete;Geronimo;Poblete;MET;Midfielder;PobleteGeronimoMET;
Giannelli Imbula;Giannelli;Imbula;TOU;Midfielder;ImbulaGiannelliTOU;
Radamel Falcao;Radamel;Falcao;MON;Forward;FalcaoRadamelMON;
Gilles Sunu;Gilles;Sunu;ANG;Forward;SunuGillesANG;
Giovani Lo Celso;Giovani;Lo Celso;PSG;Midfielder;Lo_CelsoGiovaniPSG;
Giovanni Sio;Giovanni;Sio;MTP;Forward;SioGiovanniMTP;
Goran Karanovic;Goran;Karanovic;ANG;Forward;KaranovicGoranANG;
Christophe Jallet;Christophe;Jallet;NIC;Defender;JalletChristopheNIC;
Gregory Sertic;Gregory;Sertic;MAR;Midfielder;SerticGregoryMAR;
Guessouma Fofana;Guessouma;Fofana;AMN;Midfielder;FofanaGuessoumaAMN;
Rachid Ghezzal;Rachid;Ghezzal;MON;Midfielder;GhezzalRachidMON;
Guy NGosso;Guy;NGosso;AMN;Midfielder;NGossoGuyAMN;N'GossoGuyAMN
Afonso Figueiredo;Afonso;Figueiredo;REN;Defender;FigueiredoAfonsoREN;
Hamidou Keyta;Hamidou;Keyta;ETI;Forward;KeytaHamidouETI;
Harisson Manzala;Harisson;Manzala;AMN;Midfielder;ManzalaHarissonAMN;
Hatem Ben Arfa;Hatem;Ben Arfa;PSG;Forward;Ben_ArfaHatemPSG;
Henri Bedimo;Henri;Bedimo;MAR;Defender;BedimoHenriMAR;
Hernani;;Hernani;ETI;Midfielder;HernaniETI;
Herve Bazile;Herve;Bazile;CAE;Forward;BazileHerveCAE;
Herve Koffi  ;Herve;Koffi;LIL;Goalkeeper;KoffiHerveLIL;
Hervin Ongenda;Hervin;Ongenda;PSG;Forward;OngendaHervinPSG;
Hicham M'Laab  ;Hicham;M'Laab;PSG;Midfielder;M'LaabHichamPSG;
Hiroki Sakai;Hiroki;Sakai;MAR;Defender;SakaiHirokiMAR;
Ibrahim Amadou;Ibrahim;Amadou;LIL;Defender;AmadouIbrahimLIL;
Ibrahim Sangare;Ibrahim;Sangare;TOU;Midfielder;SangareIbrahimTOU;
Ibrahima Diallo;Ibrahima;Diallo;ANG;Defender;DialloIbrahimaANG;
Ibrahima Niane;Ibrahima;Niane;MET;Forward;NianeIbrahimaMET;
